PLAYER,EFF
Kevin Love,40.0
Kevin Durant,39.5
DeMarcus Cousins,38.4
LeBron James,37.3
Anthony Davis,35.9
Chris Paul,35.7
Blake Griffin,34.9
Tim Duncan,34.2
Al Jefferson,33.9
Andre Drummond,33.8
LaMarcus Aldridge,33.0
Stephen Curry,32.9
Dwight Howard,32.8
Dirk Nowitzki,32.4
Joakim Noah,31.6
Carmelo Anthony,31.3
Kenneth Faried,30.8
James Harden,30.7
DeAndre Jordan,30.5
David Lee,30.1
Serge Ibaka,29.9
Paul Millsap,29.8
Derrick Favors,28.4
Marcin Gortat,28.1
Terrence Jones,28.0
Paul George,27.5
John Wall,27.3
Spencer Hawes,27.3
Zach Randolph,27.3
Kyle Lowry,27.2
Goran Dragic,27.1
Markieff Morris,27.1
Greg Monroe,27.0
Chris Bosh,26.8
Jonas Valanciunas,26.7
Robin Lopez,26.3
Ty Lawson,26.3
David West,26.2
Kyrie Irving,26.1
Isaiah Thomas,26.1
Tyreke Evans,26.0
Jared Sullinger,26.0
Carlos Boozer,25.4
Nicolas Batum,25.1
Rudy Gay,25.0
Damian Lillard,25.0
Mike Conley,24.8
Enes Kanter,24.6
Michael Carter-Williams,24.6
Ricky Rubio,24.3
Amir Johnson,24.3
Taj Gibson,24.2
Paul Pierce,24.1
Jeff Teague,24.0
Thaddeus Young,23.8
Lance Stephenson,23.5
DeMar DeRozan,23.4
Deron Williams,23.3
Tristan Thompson,23.2
Chandler Parsons,22.9
Reggie Jackson,22.9
Kemba Walker,22.8
Monta Ellis,22.8
Brandon Bass,22.6
Trevor Ariza,22.5
Darren Collison,22.5
Gordon Hayward,22.3
Jamal Crawford,22.1
Brandon Knight,22.0
Gerald Green,22.0
Roy Hibbert,21.5
Marco Belinelli,21.4
Kevin Martin,21.3
Al-Farouq Aminu,21.3
Josh McRoberts,21.3
Shawn Marion,21.2
Arron Afflalo,21.1
Brandon Jennings,21.0
DeMarre Carroll,21.0
Josh Smith,21.0
Luol Deng,21.0
Jameer Nelson,20.9
Ramon Sessions,20.7
Channing Frye,20.7
Alec Burks,20.7
Wesley Matthews,20.7
PJ Tucker,20.5
Andre Iguodala,20.5
Evan Turner,20.5
Jose Calderon,20.5
Jeremy Lin,20.5
Victor Oladipo,20.4
Jason Thompson,20.4
Mario Chalmers,20.1
Joe Johnson,20.1
Kyle Korver,20.0
Randy Foye,19.4
Klay Thompson,19.3
Jodie Meeks,19.3
Bradley Beal,19.3
J.R. Smith,19.0
George Hill,18.9
Eric Gordon,18.8
Gerald Henderson,18.7
Dion Waiters,18.7
Wesley Johnson,18.6
Khris Middleton,18.6
Mike Dunleavy,18.5
Jeff Green,18.4
Raymond Felton,18.2
Trey Burke,18.0
Jimmy Butler,17.6
Jarrett Jack,17.4
Corey Brewer,17.2
James Anderson,17.0
Terrence Ross,17.0
Kyle Singler,16.8
Kirk Hinrich,16.4
Richard Jefferson,16.4
Martell Webster,16.1
Harrison Barnes,15.4
Norris Cole,13.9
Ben McLemore,12.1
